"Chinese","Pinyin","English","Part of Speech","HSK Level"
"阿姨","āyí","auntie; nanny","n.","HSK 3"
"矮","ǎi","short; low","adj.","HSK 3"
"爱人","àiren","spouse; lover","n.","HSK 3"
"安静","ānjìng","quiet; peaceful; calm","adj.","HSK 3"
"安全","ānquán","safe; secure; safety","adj.","HSK 3"
"把","bǎ","m.w. for things with handles; prep.","m.w.","HSK 3"
"搬","bān","to move; to carry","v.","HSK 3"
"班级","bānjí","class; grade","n.","HSK 3"
"搬家","bānjiā","to move house","v.","HSK 3"
"办","bàn","to do; to manage; to handle","v.","HSK 3"
"办法","bànfǎ","means; method; way","n.","HSK 3"
"办公室","bàngōngshì","office; bureau","n.","HSK 3"
"半天","bàntiān","half of the day","n.","HSK 3"
"帮助","bāngzhù","assistance; to help","v.","HSK 3"
"饱","bǎo","to eat till full; satisfied","adj.","HSK 3"
"报纸","bàozhǐ","newspaper","n.","HSK 3"
"北","běi","north","n.","HSK 3"
"北方","běifāng","the north; northern China","n.","HSK 3"
"被","bèi","by; passive marker","prep.","HSK 3"
"笔记","bǐjì","notes; note-taking","n.","HSK 3"
"比较","bǐjiào","to compare; comparatively","adv.","HSK 3"
"笔记本","bǐjìběn","notebook","n.","HSK 3"
"比如","bǐrú","for example; such as","v.","HSK 3"
"比赛","bǐsài","competition; match","n.","HSK 3"
"必须","bìxū","must; have to","adv.","HSK 3"
"变","biàn","to change; to become","v.","HSK 3"
"遍","biàn","m.w. for actions","m.w.","HSK 3"
"变成","biànchéng","to change into; to become","v.","HSK 3"
"变化","biànhuà","to change; change","v.","HSK 3"
"表演","biǎoyǎn","performance; to perform","v.","HSK 3"
"别的","biéde","else; other","pron.","HSK 3"
"别人","biérén","other people; others","pron.","HSK 3"
"宾馆","bīnguǎn","hotel","n.","HSK 3"
"冰","bīng","ice","n.","HSK 3"
"冰激凌","bīngjīlíng","ice cream","n.","HSK 3"
"冰箱","bīngxiāng","refrigerator","n.","HSK 3"
"病人","bìngrén","sick person; patient","n.","HSK 3"
"不但","búdàn","not only","conj.","HSK 3"
"不见","bújiàn","to disappear; not to see","v.","HSK 3"
"不用","búyòng","do not need to","adv.","HSK 3"
"不同","bùtóng","different","adj.","HSK 3"
"不久","bùjiǔ","not long; soon","adj.","HSK 3"
"不行","bùxíng","not okay; won't work","adj.","HSK 3"
"才","cái","only; not until","adv.","HSK 3"
"菜单","càidān","menu","n.","HSK 3"
"参加","cānjiā","to participate; to join","v.","HSK 3"
"草","cǎo","grass; straw","n.","HSK 3"
"草地","cǎodì","lawn; meadow","n.","HSK 3"
"层","céng","m.w. for layers","m.w.","HSK 3"
"查","chá","to check; to look up","v.","HSK 3"
"差","chà","different; wrong","adj.","HSK 3"
"差不多","chàbuduō","almost; nearly","adv.","HSK 3"
"尝","cháng","to taste","v.","HSK 3"
"常","cháng","always; often","adv.","HSK 3"
"常见","chángjiàn","common","adj.","HSK 3"
"常用","chángyòng","commonly used","adj.","HSK 3"
"常常","chángcháng","frequently; often","adv.","HSK 3"
"衬衫","chènshān","shirt; blouse","n.","HSK 3"
"成绩","chéngjì","grade; score; result","n.","HSK 3"
"城市","chéngshì","city; town","n.","HSK 3"
"迟到","chídào","to be late","v.","HSK 3"
"出发","chūfā","to set off; to start","v.","HSK 3"
"出生","chūshēng","to be born","v.","HSK 3"
"出院","chūyuàn","to leave the hospital","v.","HSK 3"
"初中","chūzhōng","middle school","n.","HSK 3"
"除了","chúle","besides; except for","prep.","HSK 3"
"船","chuán","boat; vessel; ship","n.","HSK 3"
"春天","chūntiān","spring","n.","HSK 3"
"词典","cídiǎn","dictionary","n.","HSK 3"
"聪明","cōngmíng","smart; clever","adj.","HSK 3"
"打扫","dǎsǎo","to clean","v.","HSK 3"
"打算","dǎsuàn","to plan; to intend","v.","HSK 3"
